occ_code,occ_title,total_employment,employment_prse,mean_wage_prse,mean_annual,mean_annual_topcoded,median_annual,median_annual_topcoded,pct10_annual,pct25_annual,pct75_annual,pct90_annual,year
11-1011,Chief Executives,211230,1.4,0.7,258900.0,False,206680.0,False,80000.0,130840.0,,,2023
11-1021,General and Operations Managers,3507810,0.4,0.9,129330.0,False,101280.0,False,46340.0,65180.0,160290.0,232110.0,2023
11-1031,Legislators,32460,1.7,1.3,68140.0,False,47290.0,False,21010.0,28810.0,82200.0,129510.0,2023
11-2011,Advertising and Promotions Managers,20630,2.9,2.7,152620.0,False,131870.0,False,63580.0,88810.0,188530.0,,2023
11-2021,Marketing Managers,368940,1.8,0.3,166410.0,False,157620.0,False,79600.0,108000.0,208000.0,,2023
11-2022,Sales Managers,575880,1.3,0.3,157610.0,False,135160.0,False,63700.0,93540.0,196700.0,,2023
11-2032,Public Relations Managers,72760,3.2,1.0,159420.0,False,134760.0,False,76160.0,99180.0,191840.0,,2023
11-2033,Fundraising Managers,31810,1.9,0.9,133620.0,False,119200.0,False,68800.0,86880.0,162660.0,212730.0,2023
11-3012,Administrative Services Managers,242520,1.3,0.4,121200.0,False,106470.0,False,62470.0,81420.0,140870.0,188820.0,2023
11-3013,Facilities Managers,131400,1.2,0.4,111110.0,False,102340.0,False,60840.0,78130.0,133990.0,169020.0,2023
11-3021,Computer and Information Systems Managers,592600,0.5,0.3,180720.0,False,169510.0,False,101590.0,131770.0,214050.0,,2023
11-3031,Financial Managers,787340,1.0,0.5,174820.0,False,156100.0,False,82870.0,110190.0,210830.0,,2023
11-3051,Industrial Production Managers,222890,0.7,0.3,125900.0,False,116970.0,False,72010.0,91590.0,151220.0,190480.0,2023
11-3061,Purchasing Managers,77530,1.2,0.4,146710.0,False,136380.0,False,83510.0,105300.0,172110.0,215170.0,2023
11-3071,"Transportation, Storage, and Distribution Managers",198780,0.7,0.3,111870.0,False,99200.0,False,58810.0,76120.0,133090.0,175530.0,2023
11-3111,Compensation and Benefits Managers,18690,2.6,1.2,150940.0,False,136380.0,False,76550.0,102540.0,181030.0,229970.0,2023
11-3121,Human Resources Managers,200600,1.3,0.4,154740.0,False,136350.0,False,81060.0,103340.0,182120.0,,2023
11-3131,Training and Development Managers,41540,2.4,0.4,138450.0,False,125040.0,False,73410.0,94240.0,166780.0,220060.0,2023
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",6150,4.7,1.4,90160.0,False,83770.0,False,47800.0,63510.0,109090.0,136410.0,2023
11-9021,Construction Managers,329190,2.9,0.5,116960.0,False,104900.0,False,64480.0,81640.0,135550.0,172040.0,2023
11-9031,"Education and Childcare Administrators, Preschool and Daycare",64090,1.7,1.1,61320.0,False,54290.0,False,36550.0,44420.0,69350.0,94890.0,2023
11-9032,"Education Administrators, Kindergarten through Secondary",302580,0.6,0.3,111020.0,False,103460.0,False,70050.0,83050.0,131180.0,163010.0,2023
11-9033,"Education Administrators, Postsecondary",167270,0.3,0.3,122010.0,False,102610.0,False,62970.0,79700.0,137230.0,209870.0,2023
11-9039,"Education Administrators, All Other",50690,1.3,0.7,100720.0,False,88460.0,False,49470.0,64800.0,120120.0,158200.0,2023
11-9041,Architectural and Engineering Managers,207800,2.1,0.5,172290.0,False,165370.0,False,107390.0,132890.0,203030.0,233590.0,2023
11-9051,Food Service Managers,246070,2.1,0.8,69580.0,False,63060.0,False,42990.0,50390.0,79630.0,101240.0,2023
11-9071,Gambling Managers,4590,1.6,1.1,98270.0,False,82380.0,False,49940.0,65210.0,113720.0,159440.0,2023
11-9072,"Entertainment and Recreation Managers, Except Gambling",29690,2.1,1.2,84080.0,False,73460.0,False,42730.0,53480.0,99170.0,133680.0,2023
11-9081,Lodging Managers,41980,1.7,1.1,76790.0,False,65360.0,False,39270.0,49380.0,87930.0,127090.0,2023
11-9111,Medical and Health Services Managers,515100,0.6,0.5,134440.0,False,110680.0,False,67900.0,86080.0,157640.0,216750.0,2023
11-9121,Natural Sciences Managers,96520,1.5,1.1,169120.0,False,157740.0,False,77520.0,109300.0,212080.0,,2023
11-9131,Postmasters and Mail Superintendents,13810,0.0,0.0,89770.0,False,88670.0,False,79060.0,82990.0,95660.0,104940.0,2023
11-9141,"Property, Real Estate, and Community Association Managers",284120,1.1,1.2,78400.0,False,62850.0,False,37540.0,47940.0,92560.0,135990.0,2023
11-9151,Social and Community Service Managers,173650,0.8,0.7,83400.0,False,77030.0,False,48880.0,60860.0,98740.0,127550.0,2023
11-9161,Emergency Management Directors,11910,2.4,0.5,93690.0,False,83960.0,False,50340.0,62630.0,112190.0,151560.0,2023
11-9171,Funeral Home Managers,14200,2.5,1.0,84800.0,False,75660.0,False,44830.0,59650.0,98560.0,131360.0,2023
11-9179,"Personal Service Managers, All Other",11170,6.6,2.6,62980.0,False,57570.0,False,31000.0,41410.0,73650.0,99900.0,2023
11-9199,"Managers, All Other",589750,1.3,0.3,146320.0,False,133560.0,False,67370.0,97990.0,174510.0,225120.0,2023
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",12870,7.0,4.5,132810.0,False,84900.0,False,47100.0,62280.0,129930.0,,2023
13-1020,Buyers and Purchasing Agents,477980,1.0,0.4,77850.0,False,71950.0,False,43680.0,54910.0,94910.0,121680.0,2023
13-1031,"Claims Adjusters, Examiners, and Investigators",293780,0.9,0.3,75770.0,False,75050.0,False,47390.0,58770.0,91100.0,105440.0,2023
13-1032,"Insurance Appraisers, Auto Damage",8670,4.7,0.8,75660.0,False,74520.0,False,56890.0,63690.0,82740.0,100240.0,2023
13-1041,Compliance Officers,383620,0.4,0.3,80190.0,False,75670.0,False,43790.0,56180.0,100340.0,123710.0,2023
13-1051,Cost Estimators,220970,0.8,0.5,79520.0,False,74740.0,False,44820.0,57130.0,96740.0,124520.0,2023
13-1071,Human Resources Specialists,895970,1.6,0.3,76060.0,False,67650.0,False,42900.0,51510.0,92390.0,121800.0,2023
13-1074,Farm Labor Contractors,460,24.9,10.9,51400.0,False,45730.0,False,26700.0,31970.0,63980.0,89640.0,2023
13-1075,Labor Relations Specialists,62800,1.1,0.9,94620.0,False,89980.0,False,48360.0,65650.0,120610.0,139520.0,2023
13-1081,Logisticians,228470,0.9,0.4,84640.0,False,79400.0,False,47990.0,61440.0,101890.0,128550.0,2023
13-1082,Project Management Specialists,947630,1.2,0.5,104920.0,False,98580.0,False,57500.0,74100.0,129690.0,163040.0,2023
13-1111,Management Analysts,838140,1.6,1.4,115530.0,False,99410.0,False,57840.0,74540.0,130800.0,172280.0,2023
13-1121,"Meeting, Convention, and Event Planners",122130,1.3,0.7,62280.0,False,56920.0,False,34410.0,43450.0,74510.0,99010.0,2023
13-1131,Fundraisers,101730,2.3,0.8,70760.0,False,64160.0,False,39440.0,49560.0,83120.0,106700.0,2023
13-1141,"Compensation, Benefits, and Job Analysis Specialists",99850,1.3,0.9,80620.0,False,74530.0,False,46050.0,56890.0,97960.0,127340.0,2023
13-1151,Training and Development Specialists,403480,0.7,0.5,71980.0,False,64340.0,False,36050.0,47510.0,87890.0,116140.0,2023
13-1161,Market Research Analysts and Marketing Specialists,846370,0.9,0.4,83190.0,False,74680.0,False,40040.0,52840.0,102450.0,137040.0,2023
13-1199,"Business Operations Specialists, All Other",1103440,0.4,0.4,89130.0,False,79590.0,False,44370.0,59010.0,106300.0,140300.0,2023
13-2011,Accountants and Auditors,1435770,0.4,0.3,90780.0,False,79880.0,False,50440.0,62720.0,103990.0,137280.0,2023
13-2020,Property Appraisers and Assessors,62090,6.0,4.7,76110.0,False,61630.0,False,36230.0,46560.0,83600.0,116580.0,2023
13-2031,Budget Analysts,47310,0.6,0.4,90880.0,False,84940.0,False,56760.0,68540.0,107470.0,131630.0,2023
13-2041,Credit Analysts,73200,1.2,0.6,94750.0,False,79420.0,False,50060.0,61600.0,108430.0,164750.0,2023
13-2051,Financial and Investment Analysts,325220,0.8,0.6,112950.0,False,99010.0,False,60830.0,76880.0,129970.0,175840.0,2023
13-2052,Personal Financial Advisors,272190,1.4,1.7,150670.0,False,99580.0,False,48730.0,65320.0,169910.0,,2023
13-2053,Insurance Underwriters,101310,3.5,0.7,85610.0,False,77860.0,False,48480.0,61370.0,102000.0,132010.0,2023
13-2054,Financial Risk Specialists,55290,1.3,0.6,118950.0,False,106090.0,False,61090.0,79140.0,141030.0,184330.0,2023
13-2061,Financial Examiners,63440,1.3,0.4,98140.0,False,84300.0,False,49710.0,63430.0,121280.0,165670.0,2023
13-2071,Credit Counselors,27950,2.1,0.6,53440.0,False,48570.0,False,37460.0,41980.0,59990.0,75030.0,2023
13-2072,Loan Officers,321090,0.8,0.5,84490.0,False,69990.0,False,37020.0,49130.0,100020.0,139470.0,2023
13-2081,"Tax Examiners and Collectors, and Revenue Agents",50250,0.4,0.1,65370.0,False,58530.0,False,37690.0,45360.0,78520.0,107660.0,2023
13-2082,Tax Preparers,81650,2.4,1.2,58160.0,False,49010.0,False,29170.0,35670.0,76020.0,98810.0,2023
13-2099,"Financial Specialists, All Other",122730,1.2,0.9,89650.0,False,78310.0,False,43510.0,57930.0,105060.0,139960.0,2023
15-1211,Computer Systems Analysts,498810,0.8,0.5,110800.0,False,103800.0,False,63230.0,80380.0,132580.0,165700.0,2023
15-1212,Information Security Analysts,175350,1.1,0.5,124740.0,False,120360.0,False,69210.0,90050.0,153550.0,182370.0,2023
15-1221,Computer and Information Research Scientists,35210,3.7,1.0,157160.0,False,145080.0,False,81450.0,109990.0,185160.0,233110.0,2023
15-1231,Computer Network Support Specialists,158720,1.4,0.7,78640.0,False,71530.0,False,45660.0,54700.0,92570.0,121920.0,2023
15-1232,Computer User Support Specialists,689700,0.9,0.4,63640.0,False,59240.0,False,37690.0,46550.0,75950.0,97020.0,2023
15-1241,Computer Network Architects,174100,1.3,0.7,133930.0,False,129840.0,False,77960.0,100120.0,164080.0,195000.0,2023
15-1242,Database Administrators,76140,1.4,0.8,104810.0,False,101510.0,False,54320.0,71940.0,133120.0,157710.0,2023
15-1243,Database Architects,59920,3.6,1.7,137030.0,False,134700.0,False,76000.0,104330.0,166780.0,194960.0,2023
15-1244,Network and Computer Systems Administrators,323020,0.7,0.5,100580.0,False,95360.0,False,58680.0,74400.0,121910.0,148710.0,2023
15-1251,Computer Programmers,120370,2.4,1.1,107750.0,False,99700.0,False,58950.0,74610.0,129650.0,167230.0,2023
15-1252,Software Developers,1656880,0.7,0.4,138110.0,False,132270.0,False,77020.0,101200.0,167540.0,208620.0,2023
15-1253,Software Quality Assurance Analysts and Testers,203040,1.1,0.6,108460.0,False,101800.0,False,58740.0,78470.0,130630.0,164520.0,2023
15-1254,Web Developers,85350,4.8,1.9,95570.0,False,84960.0,False,46850.0,61690.0,116370.0,157280.0,2023
15-1255,Web and Digital Interface Designers,111060,3.0,0.8,108820.0,False,98540.0,False,48210.0,66020.0,139500.0,176490.0,2023
15-1299,"Computer Occupations, All Other",437170,0.8,0.5,112430.0,False,104920.0,False,49690.0,71990.0,141820.0,174300.0,2023
15-2011,Actuaries,25470,2.6,1.4,132500.0,False,120000.0,False,75380.0,88420.0,164320.0,209310.0,2023
15-2021,Mathematicians,2220,2.5,0.9,119770.0,False,116440.0,False,62260.0,81910.0,148240.0,183500.0,2023
15-2031,Operations Research Analysts,117880,1.2,0.6,95600.0,False,83640.0,False,52930.0,66250.0,115190.0,148920.0,2023
15-2041,Statisticians,29950,3.2,0.8,109190.0,False,104110.0,False,58690.0,78140.0,134950.0,163360.0,2023
15-2051,Data Scientists,192710,1.2,0.4,119040.0,False,108020.0,False,61070.0,79810.0,147670.0,184090.0,2023
15-2099,"Mathematical Science Occupations, All Other",4320,5.3,4.0,83330.0,False,70620.0,False,38400.0,49800.0,99730.0,155150.0,2023
17-1011,"Architects, Except Landscape and Naval",111170,1.3,1.3,100400.0,False,93310.0,False,58870.0,73240.0,116780.0,151300.0,2023
17-1012,Landscape Architects,20370,6.1,1.1,83990.0,False,79320.0,False,50000.0,61520.0,97170.0,125600.0,2023
17-1021,Cartographers and Photogrammetrists,12330,4.0,0.8,78810.0,False,76210.0,False,48660.0,60430.0,95610.0,113540.0,2023
17-1022,Surveyors,50740,3.9,0.8,74000.0,False,68540.0,False,41430.0,50970.0,91520.0,109660.0,2023
17-2011,Aerospace Engineers,66660,1.6,0.7,134330.0,False,130720.0,False,81620.0,101730.0,166610.0,188910.0,2023
17-2021,Agricultural Engineers,1860,19.8,2.1,93490.0,False,88750.0,False,62150.0,79620.0,101030.0,127590.0,2023
17-2031,Bioengineers and Biomedical Engineers,19320,3.5,0.8,106700.0,False,100730.0,False,68100.0,81370.0,125780.0,154350.0,2023
17-2041,Chemical Engineers,21140,3.3,2.1,122910.0,False,112100.0,False,75650.0,91630.0,142810.0,176420.0,2023
17-2051,Civil Engineers,327950,1.5,0.5,101160.0,False,95890.0,False,63220.0,76500.0,123010.0,150640.0,2023
17-2061,Computer Hardware Engineers,82660,2.3,1.3,147770.0,False,138080.0,False,81630.0,108670.0,175400.0,212770.0,2023
17-2071,Electrical Engineers,185430,1.8,0.7,117680.0,False,106950.0,False,69320.0,83200.0,137140.0,172050.0,2023
17-2072,"Electronics Engineers, Except Computer",96410,1.5,0.6,124190.0,False,119200.0,False,76700.0,93380.0,151610.0,179690.0,2023
17-2081,Environmental Engineers,39880,2.2,0.7,105840.0,False,100090.0,False,63370.0,78640.0,125520.0,156530.0,2023
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",22510,2.5,0.8,108740.0,False,103690.0,False,62190.0,81760.0,131670.0,160600.0,2023
17-2112,Industrial Engineers,332870,0.7,0.5,103150.0,False,99380.0,False,65320.0,79730.0,124000.0,142220.0,2023
17-2121,Marine Engineers and Naval Architects,9960,7.4,1.8,108110.0,False,100270.0,False,76860.0,80620.0,126870.0,156630.0,2023
17-2131,Materials Engineers,24630,1.8,0.7,110430.0,False,104100.0,False,63340.0,80790.0,133090.0,165580.0,2023
17-2141,Mechanical Engineers,281290,1.6,0.5,105220.0,False,99510.0,False,64560.0,79160.0,126990.0,157470.0,2023
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",7040,6.0,2.9,105460.0,False,100640.0,False,55150.0,77730.0,128920.0,160820.0,2023
17-2161,Nuclear Engineers,12710,7.1,0.8,126950.0,False,125460.0,False,82150.0,100500.0,142700.0,174020.0,2023
17-2171,Petroleum Engineers,20390,3.6,1.5,148590.0,False,135690.0,False,77340.0,104020.0,176990.0,225920.0,2023
17-2199,"Engineers, All Other",150990,1.3,0.5,118350.0,False,111970.0,False,62130.0,83250.0,146060.0,177020.0,2023
17-3011,Architectural and Civil Drafters,111070,2.3,0.6,65000.0,False,61820.0,False,39720.0,49660.0,77020.0,94580.0,2023
17-3012,Electrical and Electronics Drafters,20680,3.1,0.8,73110.0,False,69260.0,False,46470.0,54970.0,83870.0,103530.0,2023
17-3013,Mechanical Drafters,44850,1.4,0.6,69920.0,False,64060.0,False,43420.0,52000.0,81380.0,102110.0,2023
17-3019,"Drafters, All Other",16580,4.1,0.9,62980.0,False,59260.0,False,39000.0,47840.0,74090.0,91400.0,2023
17-3021,Aerospace Engineering and Operations Technologists and Technicians,10640,4.0,1.4,81280.0,False,77830.0,False,50050.0,61490.0,99440.0,113970.0,2023
17-3022,Civil Engineering Technologists and Technicians,63560,2.2,0.9,63770.0,False,60700.0,False,39120.0,47920.0,76570.0,91010.0,2023
17-3023,Electrical and Electronic Engineering Technologists and Technicians,97420,1.1,0.4,74440.0,False,72800.0,False,46420.0,57990.0,85680.0,105320.0,2023
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,15360,3.0,0.9,72430.0,False,65080.0,False,44210.0,51650.0,82990.0,104690.0,2023
17-3025,Environmental Engineering Technologists and Technicians,13780,4.9,1.3,58780.0,False,54000.0,False,36150.0,45330.0,68790.0,84640.0,2023
17-3026,Industrial Engineering Technologists and Technicians,73020,1.0,0.6,66640.0,False,62610.0,False,44950.0,50680.0,77390.0,94540.0,2023
17-3027,Mechanical Engineering Technologists and Technicians,38930,2.3,0.5,67990.0,False,64020.0,False,44110.0,51930.0,79910.0,96740.0,2023
17-3028,Calibration Technologists and Technicians,13220,4.1,1.6,67360.0,False,62790.0,False,42370.0,50050.0,79170.0,100850.0,2023
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",66200,1.9,0.8,75290.0,False,73500.0,False,42900.0,54160.0,92880.0,109190.0,2023
17-3031,Surveying and Mapping Technicians,56050,2.5,0.8,54090.0,False,48940.0,False,35080.0,39790.0,62540.0,79150.0,2023
19-1011,Animal Scientists,2460,8.4,4.5,89450.0,False,70140.0,False,46240.0,52870.0,103260.0,162000.0,2023
19-1012,Food Scientists and Technologists,14100,4.3,1.3,88350.0,False,82090.0,False,48480.0,63980.0,105640.0,135430.0,2023
19-1013,Soil and Plant Scientists,15800,5.7,1.9,77080.0,False,68240.0,False,43790.0,54030.0,93500.0,119410.0,2023
19-1021,Biochemists and Biophysicists,33180,3.2,1.4,120310.0,False,107460.0,False,64680.0,81650.0,136080.0,175790.0,2023
19-1022,Microbiologists,21540,3.1,1.1,93380.0,False,85470.0,False,49070.0,62770.0,120240.0,147470.0,2023
19-1023,Zoologists and Wildlife Biologists,17100,2.1,0.6,75740.0,False,70600.0,False,45840.0,57120.0,88190.0,110590.0,2023
19-1029,"Biological Scientists, All Other",61220,1.9,1.3,99060.0,False,91100.0,False,52230.0,66400.0,119390.0,158730.0,2023
19-1031,Conservation Scientists,22790,1.5,0.7,73160.0,False,68750.0,False,42850.0,53000.0,87460.0,105460.0,2023
19-1032,Foresters,9450,3.2,1.1,70680.0,False,67330.0,False,46700.0,55520.0,82120.0,98590.0,2023
19-1041,Epidemiologists,10230,2.4,0.8,90430.0,False,81390.0,False,54950.0,65910.0,103980.0,132230.0,2023
19-1042,"Medical Scientists, Except Epidemiologists",136620,1.3,2.5,112380.0,False,100890.0,False,61810.0,76690.0,133870.0,168020.0,2023
19-1099,"Life Scientists, All Other",7490,3.1,1.6,101520.0,False,86950.0,False,50340.0,64460.0,127580.0,172060.0,2023
19-2011,Astronomers,2080,7.9,2.5,128940.0,False,127930.0,False,56500.0,85600.0,172210.0,183500.0,2023
19-2012,Physicists,18350,1.7,0.6,158270.0,False,155680.0,False,80950.0,112610.0,186330.0,232940.0,2023
19-2021,Atmospheric and Space Scientists,9310,4.3,1.2,101530.0,False,92860.0,False,48960.0,68080.0,124760.0,157250.0,2023
19-2031,Chemists,83530,1.5,0.6,95560.0,False,84680.0,False,52950.0,64940.0,118800.0,149550.0,2023
19-2032,Materials Scientists,8810,6.7,1.3,112440.0,False,106160.0,False,64130.0,82670.0,134580.0,170900.0,2023
19-2041,"Environmental Scientists and Specialists, Including Health",80730,1.2,0.6,86710.0,False,78980.0,False,48580.0,60920.0,103420.0,133660.0,2023
19-2042,"Geoscientists, Except Hydrologists and Geographers",24620,3.8,1.1,104000.0,False,92580.0,False,52500.0,66280.0,127480.0,172600.0,2023
19-2043,Hydrologists,6150,4.3,2.0,96410.0,False,88770.0,False,57120.0,69240.0,114710.0,141790.0,2023
19-2099,"Physical Scientists, All Other",20820,1.6,0.7,119050.0,False,112280.0,False,59590.0,81210.0,148430.0,183500.0,2023
19-3011,Economists,16420,3.5,2.6,132650.0,False,115730.0,False,62520.0,82330.0,166070.0,216900.0,2023
19-3022,Survey Researchers,8190,4.8,2.2,66670.0,False,60960.0,False,30790.0,41330.0,81460.0,107790.0,2023
19-3032,Industrial-Organizational Psychologists,1030,14.2,7.5,154380.0,False,147420.0,False,45860.0,90100.0,219410.0,219810.0,2023
19-3033,Clinical and Counseling Psychologists,71730,4.4,1.6,106600.0,False,96100.0,False,48820.0,66050.0,129020.0,168870.0,2023
19-3034,School Psychologists,62790,1.8,0.8,91990.0,False,84940.0,False,59250.0,70520.0,107400.0,131470.0,2023
19-3039,"Psychologists, All Other",14480,1.8,1.1,110300.0,False,117750.0,False,47450.0,76550.0,138280.0,157420.0,2023
19-3041,Sociologists,2890,7.2,2.3,106710.0,False,101770.0,False,59960.0,76030.0,134980.0,165280.0,2023
19-3051,Urban and Regional Planners,42690,1.2,0.5,85940.0,False,81800.0,False,51470.0,63830.0,102930.0,126120.0,2023
19-3091,Anthropologists and Archeologists,7720,5.9,1.4,69780.0,False,63800.0,False,43770.0,50510.0,82000.0,102150.0,2023
19-3092,Geographers,1460,3.9,0.7,92460.0,False,90880.0,False,59850.0,70600.0,110240.0,126940.0,2023
19-3093,Historians,3040,7.1,1.5,76120.0,False,72890.0,False,35760.0,51720.0,93580.0,124720.0,2023
19-3094,Political Scientists,5580,3.4,0.9,132020.0,False,132350.0,False,72470.0,96600.0,167650.0,183500.0,2023
19-3099,"Social Scientists and Related Workers, All Other",35210,1.5,0.8,102210.0,False,95890.0,False,59010.0,75400.0,123200.0,158160.0,2023
19-4012,Agricultural Technicians,13150,6.4,1.0,46810.0,False,43180.0,False,30750.0,36400.0,53120.0,65470.0,2023
19-4013,Food Science Technicians,15190,3.0,0.8,54000.0,False,49090.0,False,37290.0,41770.0,61390.0,74630.0,2023
19-4021,Biological Technicians,76990,1.2,0.5,56540.0,False,51430.0,False,36970.0,42390.0,65510.0,80330.0,2023
19-4031,Chemical Technicians,55880,1.7,0.7,60920.0,False,56750.0,False,38240.0,45920.0,73280.0,93340.0,2023
19-4042,"Environmental Science and Protection Technicians, Including Health",32390,2.8,1.1,57470.0,False,50660.0,False,35800.0,41790.0,65310.0,85010.0,2023
19-4043,"Geological Technicians, Except Hydrologic Technicians",8860,7.1,2.9,64590.0,False,52440.0,False,34160.0,42650.0,73720.0,108750.0,2023
19-4044,Hydrologic Technicians,3000,4.2,1.4,61500.0,False,55890.0,False,37690.0,44840.0,76000.0,91610.0,2023
19-4051,Nuclear Technicians,5400,4.1,1.3,97520.0,False,101740.0,False,62700.0,76280.0,111420.0,128700.0,2023
19-4061,Social Science Research Assistants,30890,2.9,1.5,62370.0,False,56400.0,False,37080.0,46140.0,69720.0,96720.0,2023
19-4071,Forest and Conservation Technicians,28740,1.2,0.5,54260.0,False,51880.0,False,34570.0,40540.0,63810.0,78420.0,2023
19-4092,Forensic Science Technicians,17520,1.6,0.6,71540.0,False,64940.0,False,41410.0,50480.0,84720.0,107490.0,2023
19-4099,"Life, Physical, and Social Science Technicians, All Other",72230,1.8,0.8,62640.0,False,58350.0,False,36650.0,44040.0,76080.0,100550.0,2023
19-5011,Occupational Health and Safety Specialists,122300,1.9,0.8,85570.0,False,81140.0,False,49550.0,62630.0,102690.0,128040.0,2023
19-5012,Occupational Health and Safety Technicians,27270,2.3,0.8,64250.0,False,57920.0,False,40030.0,48980.0,75410.0,97360.0,2023
21-1012,"Educational, Guidance, and Career Counselors and Advisors",327660,0.4,0.5,66990.0,False,61710.0,False,40140.0,48760.0,78780.0,100050.0,2023
21-1013,Marriage and Family Therapists,63340,2.8,2.9,68730.0,False,58510.0,False,39090.0,45250.0,78440.0,104710.0,2023
21-1015,Rehabilitation Counselors,84750,1.8,0.7,48430.0,False,44040.0,False,31390.0,36440.0,56610.0,73710.0,2023
21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",397880,0.9,0.6,60080.0,False,53710.0,False,36700.0,44600.0,70130.0,89920.0,2023
21-1019,"Counselors, All Other",35580,3.6,1.2,52360.0,False,46130.0,False,33300.0,38890.0,59340.0,79880.0,2023
21-1021,"Child, Family, and School Social Workers",352160,0.6,0.4,59190.0,False,53940.0,False,37900.0,45120.0,68450.0,85590.0,2023
21-1022,Healthcare Social Workers,185020,1.0,0.5,67430.0,False,62940.0,False,41840.0,50190.0,78710.0,97790.0,2023
21-1023,Mental Health and Substance Abuse Social Workers,114680,1.3,1.4,63870.0,False,55960.0,False,37150.0,43750.0,74810.0,100090.0,2023
21-1029,"Social Workers, All Other",58460,1.8,0.5,68800.0,False,63770.0,False,39580.0,47770.0,87730.0,104580.0,2023
21-1091,Health Education Specialists,57800,1.3,0.8,69790.0,False,62860.0,False,39630.0,48210.0,83800.0,107920.0,2023
21-1092,Probation Officers and Correctional Treatment Specialists,85870,0.3,0.3,67880.0,False,61800.0,False,41700.0,48800.0,82040.0,105220.0,2023
21-1093,Social and Human Service Assistants,409310,0.9,0.4,44240.0,False,41410.0,False,30720.0,35770.0,49280.0,61820.0,2023
21-1094,Community Health Workers,58550,1.8,0.6,52610.0,False,48200.0,False,35560.0,40490.0,60740.0,75980.0,2023
21-1099,"Community and Social Service Specialists, All Other",95310,2.2,0.6,54020.0,False,49690.0,False,34030.0,39980.0,62460.0,79320.0,2023
21-2011,Clergy,56640,2.2,1.2,63720.0,False,58920.0,False,35400.0,45540.0,74620.0,96600.0,2023
21-2021,"Directors, Religious Activities and Education",23270,4.1,2.2,61740.0,False,50140.0,False,32030.0,39150.0,70600.0,104430.0,2023
21-2099,"Religious Workers, All Other",11870,5.3,1.9,45050.0,False,37960.0,False,28530.0,31200.0,50280.0,73310.0,2023
23-1011,Lawyers,731340,0.7,1.6,176470.0,False,145760.0,False,69760.0,98030.0,217360.0,,2023
23-1012,Judicial Law Clerks,14680,1.5,0.5,64880.0,False,57490.0,False,41020.0,46090.0,71240.0,102810.0,2023
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",14670,0.3,0.3,119940.0,False,111090.0,False,53140.0,75730.0,160350.0,195000.0,2023
23-1022,"Arbitrators, Mediators, and Conciliators",7060,10.0,14.6,95370.0,False,71540.0,False,35960.0,51200.0,107060.0,152730.0,2023
23-1023,"Judges, Magistrate Judges, and Magistrates",24470,1.1,0.8,139000.0,False,148910.0,False,45950.0,84300.0,182200.0,210890.0,2023
23-2011,Paralegals and Legal Assistants,354890,1.6,1.4,66460.0,False,60970.0,False,39710.0,48180.0,77600.0,98830.0,2023
23-2093,"Title Examiners, Abstractors, and Searchers",49760,2.5,1.6,59440.0,False,53550.0,False,36400.0,43760.0,70260.0,89980.0,2023
23-2099,"Legal Support Workers, All Other",43760,1.8,1.4,82960.0,False,67700.0,False,39890.0,49980.0,106360.0,155270.0,2023
25-1011,"Business Teachers, Postsecondary",82980,0.5,0.7,113240.0,False,97130.0,False,48580.0,64670.0,140070.0,211230.0,2023
25-1021,"Computer Science Teachers, Postsecondary",36150,0.7,0.6,106380.0,False,96430.0,False,49770.0,65660.0,133800.0,175150.0,2023
25-1022,"Mathematical Science Teachers, Postsecondary",48230,0.3,0.5,95320.0,False,81020.0,False,48740.0,62280.0,108840.0,165880.0,2023
25-1031,"Architecture Teachers, Postsecondary",8350,0.4,0.5,114900.0,False,105770.0,False,60610.0,80010.0,133570.0,174390.0,2023
25-1032,"Engineering Teachers, Postsecondary",38370,0.5,0.5,120630.0,False,106910.0,False,60250.0,81960.0,139300.0,200030.0,2023
25-1041,"Agricultural Sciences Teachers, Postsecondary",7550,2.5,0.7,95610.0,False,85260.0,False,49240.0,64120.0,110310.0,149660.0,2023
25-1042,"Biological Science Teachers, Postsecondary",52050,0.5,0.6,102270.0,False,83920.0,False,51670.0,64990.0,126760.0,171410.0,2023
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",1260,3.1,1.0,102230.0,False,101650.0,False,58120.0,81040.0,118460.0,141800.0,2023
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",11770,0.7,0.4,111930.0,False,100690.0,False,52430.0,65900.0,135790.0,195940.0,2023
25-1052,"Chemistry Teachers, Postsecondary",20210,0.4,0.5,102630.0,False,85810.0,False,52590.0,65580.0,125370.0,171750.0,2023
25-1053,"Environmental Science Teachers, Postsecondary",7120,2.0,0.6,100910.0,False,88410.0,False,51280.0,66060.0,126160.0,166150.0,2023
25-1054,"Physics Teachers, Postsecondary",14030,0.5,0.6,106950.0,False,98020.0,False,55150.0,66780.0,131140.0,171820.0,2023
